ID,Name,Parameter,Language,Frequency,Confidence,References
7A-dgr,No glottalized consonants,Glottalized Consonants,Dagur,,,Bao 1982
7A-dah,Ejectives and implosives,Glottalized Consonants,Dahalo,,,Nurse 1986;Tucker et al. 1977;Maddieson et al. 1993
7A-ddf,Implosives only,Glottalized Consonants,Daju (Dar Fur),,,Tucker and Bryan 1966;Thelwall 1981
7A-dan,Implosives only,Glottalized Consonants,Dan,,,Bearth and Zemp 1967
7A-dnw,Implosives only,Glottalized Consonants,Dangaléat (Western),,,Fedry 1977
7A-dni,No glottalized consonants,Glottalized Consonants,Dani (Lower Grand Valley),,,Bromley 1961;van der Stap 1966
7A-dar,No glottalized consonants,Glottalized Consonants,Darai,,,Kotapish and Kotapish 1973;Kotapish and Kotapish 1975
7A-det,Ejectives and implosives,Glottalized Consonants,Deti,,,Vossen 1997
7A-die,No glottalized consonants,Glottalized Consonants,Diegueño (Mesa Grande),,,Langdon 1970
7A-din,No glottalized consonants,Glottalized Consonants,Dinka,,,Andersen 1987;Malou 1988
7A-dio,No glottalized consonants,Glottalized Consonants,Diola-Fogny,,,Sapir 1965
7A-diy,No glottalized consonants,Glottalized Consonants,Diyari,,,Austin 1981
7A-diz,Ejectives only,Glottalized Consonants,Dizi,,,Allan 1976b
7A-djp,No glottalized consonants,Glottalized Consonants,Djapu,,,Morphy 1983;Rose et al. 1982
7A-der,No glottalized consonants,Glottalized Consonants,Dla (Proper),,,Voorhoeve 1971
7A-doy,Implosives only,Glottalized Consonants,Doyayo,,,Wiering 1974
7A-dre,No glottalized consonants,Glottalized Consonants,Drehu,,,Moyse-Faurie 1983
7A-dum,No glottalized consonants,Glottalized Consonants,Dumo,,,Ross 1980
7A-dyi,No glottalized consonants,Glottalized Consonants,Dyirbal,,,Dixon 1972
7A-efi,No glottalized consonants,Glottalized Consonants,Efik,,,Cook 1969a
7A-eja,No glottalized consonants,Glottalized Consonants,Ejagham,,,Watters 1981
7A-eka,No glottalized consonants,Glottalized Consonants,Ekari,,,Doble 1987;Steltenpool 1969
7A-eng,No glottalized consonants,Glottalized Consonants,English,,,Gimson 1970
7A-epe,No glottalized consonants,Glottalized Consonants,Epena Pedee,,,Harms 1984;Harms 1994;Harms 1985
7A-evn,No glottalized consonants,Glottalized Consonants,Even,,,Novikova 1966;Novikova 1960
7A-eve,No glottalized consonants,Glottalized Consonants,Evenki,,,Bulatova and Grenoble 1999;Nedjalkov 1997
7A-ewe,No glottalized consonants,Glottalized Consonants,Ewe,,,Pasch 1995
7A-ewo,No glottalized consonants,Glottalized Consonants,Ewondo,,,Nnomo and Mbezele 1982;Abega 1970;Redden 1979
7A-eya,Ejectives only,Glottalized Consonants,Eyak,,,Krauss 1965
